Title,Channel,Subscribers,Views,Likes,Duration (seconds),URL
(Betaab) Jab Hum Jawan Honge Full Song | Lata Mangeshkar | Shabbir Kumar | Sunny Deol | Amrita Singh,Dard Bhare Songs,"4,370,000","15,133,754","42,684",585,https://www.youtube.com/watch?v=DoGw08d-PLo
do pal ruka. lata mangeshkar live recording,Queen of Melody 👑,"582,000","13,179,369","531,311",18,https://www.youtube.com/watch?v=2LG9jiTO4g0
Milo Na Tum To Hum Ghabraye 4k | Lata Mangeshkar Songs | Raaj Kumar | Heer Rajha Movie | 70s Song,Gaane 70s 80s,"1,110,000","13,003,886","50,778",387,https://www.youtube.com/watch?v=03sqseRqpMg
Chhod De Saari Duniya Kisi Ke Liye (HD) | Saraswatichandra | Nutan | Manish | Lata Mangeshkar Songs,Lata Mangeshkar Songs,"1,620,000","12,557,053","80,082",267,https://www.youtube.com/watch?v=9urZBwBTsig
"Aaj Kal Paon Zameen Par - Rekha, Lata Mangeshkar, Ghar Romantic Song",Ultra Bollywood,"43,400,000","11,740,658","41,057",289,https://www.youtube.com/watch?v=MqCzyGLxQeQ
Teri Do Takiya Ki Naukari Mein Mera Lakhon Ka Sawan : Lata Mangeshkar | Hindi Song | Zeenat Aman,Dard Bhare Songs,"4,370,000","10,661,619","28,474",356,https://www.youtube.com/watch?v=t5wpdRDhZ_Y
Kuchh Dil Ne Kaha | Dharmendra | Sharmila Tagore | Anupama | Lata | Evergreen Hindi Songs,Shemaroo Filmi Gaane,"71,200,000","9,408,328","40,548",242,https://www.youtube.com/watch?v=69dnqIFfrnE
Salaam e Ishq Meri Jaan - 4K Video | Kishore Kumar & Lata Mangeshkar | Amitabh Bachchan,Moza Series,"532,000","8,840,717","25,923",353,https://www.youtube.com/watch?v=eaUFOZlbLrc
Lata Mangeshkar 💘 Sun Sahiba Sun Pyar Ki Dhun 4K 💘 Mandakini Song 💘 Ram Teri Ganga Maili Songs,Dard Bhare Songs,"4,370,000","8,798,425","29,505",517,https://www.youtube.com/watch?v=tmE0SdlTyPk
भँवरे ने खिलाया फूल | Bhaware Ne Khilaaya Phool | Lata Mangeshkar Old Song | Prem Rog | Hindi Songs,Lataji Ke Gaane,"1,170,000","8,251,979","26,923",409,https://www.youtube.com/watch?v=E83q4Ycntok
"लग जा गले - Lata Mangeshkar | Lag Ja Gale | Sadhana, Manoj Kumar | Old Hindi Song | Woh Kaun Thi",Romantic Gaane,"1,530,000","6,971,769","31,624",416,https://www.youtube.com/watch?v=A9arc2hWNOw
Luka Chuppi - Lyrical Song | Rang De Basanti | Aamir Khan | Lata Mangeshkar | A.R. Rahman,Sony Music India,"64,300,000","6,641,466","72,223",394,https://www.youtube.com/watch?v=WjjKlwt0UNk
"Kya Yahi Pyar Hai (Lyrical Video) | Lata Mangeshkar, Kishore Kumar | Revibe | Hindi Songs",Universal Music India,"2,260,000","6,464,980","33,686",384,https://www.youtube.com/watch?v=L5cQa_QIjBA
Ajeeb Dastan Hai Yeh | Lata Mangeshkar Live Hydrebad Concert | Dil Apna Aur Preet Parai,Anandghan,"542,000","6,326,199","52,509",308,https://www.youtube.com/watch?v=2__xpiVjn0A
Dil Lagane Ki Na Do Saza | Anmol | Manisha Koirala | Lata Mangeshkar | 90's Dard Geet,Tips Official,"73,400,000","6,081,949","20,981",300,https://www.youtube.com/watch?v=D28L8XHhFtw
Jiya Jale | Dil Se | Lata Mangeshkar | Lata Mangeshkar Live Hydrebad concert.,Anandghan,"542,000","4,797,846","68,857",293,https://www.youtube.com/watch?v=gUSsU8CWNcI
Husn Pahadon Ka (Mandakini) Full Hindi Song | Ram Teri Ganga Maili | Lata Mangeshkar | Suresh Wadkar,Dard Bhare Songs,"4,370,000","4,619,937","21,447",322,https://www.youtube.com/watch?v=qzRJoGPeT_Q
Ek Tu Na Mila 💔 Lata Mangeshkar Sad Songs 💔 बोल मेरी तक़दीर मैं क्या | Kalyanji Anandji,NH Hindi Songs,"5,840,000","3,960,796","24,629",475,https://www.youtube.com/watch?v=elNRADpyeW8
wada na tod !! old sadabahar gane !! lata mangeshkar song !! sadabahar gane !! Triggered Gyan !!,Triggered Gyan,"217,000","3,689,966","14,410",1009,https://www.youtube.com/watch?v=1kZqNyBY5jA
"Tumhi Meri Mandir Tumhi Meri Pooja Full Song 4K | Lata Mangeshkar | Nutan, Sunil Dutt | Khandaan",SuperHit Gaane,"7,540,000","3,548,590","25,906",332,https://www.youtube.com/watch?v=zmwpWYwYKpw
Aji Rooth Kar Ab Kahan Jaiyega - Lata Mangeshkar - Arzoo [1965],Saregama Music,"53,400,000","3,025,031","21,329",315,https://www.youtube.com/watch?v=K5LTJcX01lE
Dil Deewana,Lata Mangeshkar - Topic,"505,000","2,922,999","24,068",354,https://www.youtube.com/watch?v=oEnFAt2KOfA
Piya Tose Naina Laage Re - Guide Songs HD | Waheeda Rehman | Lata Mangeshkar,BondTune Hindi,"148,000","2,797,212","27,650",517,https://www.youtube.com/watch?v=_lgACMqCpus
"Jeet Jayenge Hum Tu Agar Sang Hai 4K Song | Meri Jung | Lata Mangeshkar,Nitin Mukesh",Gaane Naye Purane,"10,000,000","2,530,685","9,518",476,https://www.youtube.com/watch?v=2qccr9qL0l8
Yaara Seeli Seeli | Lata Mangeshkar | Dimple Kapadi | Vinod Khanna | Lekin | 90's Classic Song,Best of 90s songs,"117,000","2,395,974","12,282",322,https://www.youtube.com/watch?v=OCEXAUUA5ss
"Mujhe Tum Mil Gaye Humdum video Song | Love in Tokyo | Lata Mangeshkar | Asha Parekh, Joy Mukherjee",SRE MUSIC,"609,000","2,389,702","12,698",309,https://www.youtube.com/watch?v=k3jv6NsKC5Y
Na Mon Lage Na with lyrics | Lata Mangeshkar | Serashilpi Seragaan Hits Of Lata Mangeshkar Kishore,Saregama Bengali,"7,700,000","2,361,649","19,042",218,https://www.youtube.com/watch?v=BNQVe70noWk
Panna Ki Tamanna Hai Lyrical | Kishore Kumar | Lata Mangeshkar | Dev Anand | Zeenat Aman | Old Song,"70s, 80s, 90s, Songs","166,000","2,255,181","13,101",367,https://www.youtube.com/watch?v=9rx2IMm8pF8
Sun Sahiba Sun Pyaar Ki Dhun 4K | Ram Teri Ganga Maili Songs | Lata Mangeshkar | Mandakini,SuperHit Gaane,"7,540,000","2,173,656","12,626",314,https://www.youtube.com/watch?v=8ms_iTlEE4U
"ओ बाबुल प्यारे | O Babul Pyare 4K | Lata Mangeshkar | Johny Mera Naam (1970) | Hema Malini, Premnath",Shemaroo Filmi Gaane,"71,200,000","2,123,881","6,003",357,https://www.youtube.com/watch?v=nOru3DwJnrU
