Title,Channel,Subscribers,Views,Likes,Duration (seconds),URL
Jab Koi Pyar Se Bulayega Mehdi Hassan.,VintagePakMelodies,"152,000","1,387,775","19,214",244,https://www.youtube.com/watch?v=GCGTL_dlm_U
Mehdi Hassan Live...Aap Ko Bhool Jayen Hum,qadrathejutt,"135,000","1,384,322","10,738",997,https://www.youtube.com/watch?v=HXZhuHoNgDc
MOHABBAT ZINDAGYI HAI AUR TUM MERI MOHABBAT HO - MEHDI HASSAN - FILM TUM SALMAT RAHO,FamousVideo,"1,080,000","1,258,462","4,746",223,https://www.youtube.com/watch?v=DiP8SmtNAZ8
LO AA GAYIN BAHRAN AYA SAMA SUHANA - MEHDI HASSAN & MEHNAZ - FILM DO ANSOO,LollywoodClassics,"2,160,000","901,210","3,185",321,https://www.youtube.com/watch?v=4R9EHH6QUx0
HAI RAAT RAAT BHAR KI KATAIN NA KYUN KHUSHI SE - MEHDI HASSAN & NOOR JEHAN - FILM BAHISHT,LollywoodCinema,"319,000","826,067","3,108",181,https://www.youtube.com/watch?v=nQXGbCb09o0
JISS DIN SE DEKHA HAI TUJHKO SANAM - MEHDI HASSAN - FILM AMBER,FamousVideo,"1,080,000","766,467","4,079",289,https://www.youtube.com/watch?v=0xdjIKF8YnY
LAGA HAI HUSSAN KA BAZAAR DEKHO - MEHDI HASSAN - FILM TEHZEEB,VintageLollywood,"294,000","746,521","2,627",345,https://www.youtube.com/watch?v=eyT-X_8MWks
Ab Dil Ki Tamanna,Mehdi Hassan - Topic,"102,000","700,275","6,662",419,https://www.youtube.com/watch?v=WfHaOlkabC0
Zindagi Mein To Sab Hi - Mehdi Hassan | EMI Pakistan Originals,EMI Pakistan,"652,000","637,117","5,313",637,https://www.youtube.com/watch?v=OfWzyPK-s-8
DIL BOHAT UDAS HAI - MEHDI HASSAN SINGS FOR MOHAMMAD ALI - FILM PARISTAN,VintageLollywood,"294,000","634,363","2,620",199,https://www.youtube.com/watch?v=pvv_qYBxm6U
TERA MERA KOYI NA NA KOYI NATA  HAI - MEHDI HASSAN - PAKISTANI FILM PLAY BOY,FamousVideo,"1,080,000","627,496","3,017",269,https://www.youtube.com/watch?v=f_WPVQEXa1Y
Ye Kaghzi Phhol Jese Chehre,Mehdi Hassan - Topic,"102,000","618,577","9,738",226,https://www.youtube.com/watch?v=ZK3tVnoYqHM
IK SITAM AUR MERI JAAN ABHI JAN BAQI HAI - MEHDI HASSAN - FILM SAIQA,PKFILMS,"109,000","606,535","2,619",223,https://www.youtube.com/watch?v=wNxa_8uVaKA
TEHRA HAI SAMAA HUM TUM HAIN JAHAN - MEHDI HASSAN - FILM AMBER,FamousVideo,"1,080,000","600,672","2,819",204,https://www.youtube.com/watch?v=xc-xRGPDiOI
DIL DIYA BHOOL HOYI - MEHDI HASSAN - PAKISTANI FILM IZZAT,LollywoodClassics,"2,160,000","490,256","1,892",246,https://www.youtube.com/watch?v=dexRZ9QkWiY
Pyar Bhare Do Sharmeele Nain by Mehdi Hassan | Romantic Lyrical Audio Ghazal Song | Nupur Audio,Nupur Audio,"2,480,000","480,305","3,264",413,https://www.youtube.com/watch?v=xXtLES78QK8
ROZ KEHTA HOON BHOOL JAON TUJHE - MEHDI HASSAN - FILM RAJA KI AYI GI BARAAT,LollywoodClassics,"2,160,000","459,512","2,170",243,https://www.youtube.com/watch?v=1oxvv6NRI6k
TUMHARA AKHARI KARLUN NAZARA - MEHDI HASSAN - PAKISTANI FILM IK ACCIDENT,LollywoodClassics,"2,160,000","434,199","1,899",305,https://www.youtube.com/watch?v=kbuk45ft8KA
Tere Bheege Badan Ki Khushbu Se,Mehdi Hassan - Topic,"102,000","419,881","3,658",274,https://www.youtube.com/watch?v=t13MoN5PvoE
AYE MERE DOST HASEEN RAAT - MEHDI HASSAN - FILM DIL NE PHIR YAAD KIYA,LollywoodClassics,"2,160,000","412,989","1,470",223,https://www.youtube.com/watch?v=--JJf3zsu8g
Aaye Kuch Abr - Mehdi Hassan | EMI Pakistan Originals,EMI Pakistan,"652,000","388,075","8,105",352,https://www.youtube.com/watch?v=w_1fsZGbvg8
JAB BHI CHAHAIN IK NAYI SURAT BANA LETAY HAIN LOG - MEHDI HASSAN - FILM SAZA,VintageLollywood,"294,000","378,080","1,691",237,https://www.youtube.com/watch?v=VrdyAICDdxc
Mujhe Kar Dena Deewana,Mehdi Hassan - Topic,"102,000","363,207","2,670",308,https://www.youtube.com/watch?v=_RpBFQtZsxM
Pyar Bhare Do Sharmile Nain | Ustad Mehdi Hassan |@EMIPakistanOfficial,EMI Pakistan,"652,000","356,428","4,355",228,https://www.youtube.com/watch?v=bI09S41htDo
Yun Zindagi Ki Raah Mein Takra Gaya Koi,Mehdi Hassan - Topic,"102,000","341,378","3,506",331,https://www.youtube.com/watch?v=n_sUj4GWgOc
Laagi Re Laagi Lagan Yehi Dil Mein - Mehdi Hassan Live,Jamal Nasir,"311,000","317,208","3,080",393,https://www.youtube.com/watch?v=9lc-jj5gsQk
JHUKAY JHUKAY NAINO WALAY - MEHDI HASSAN - PAKISTANI FILM BANDHAN,LollywoodClassics,"2,160,000","276,311","1,467",280,https://www.youtube.com/watch?v=fLVDHFo_Exs
Iqrar Mein Karti Hoon - Harpal |Salma Agha & Mehdi Hassan | Ghazal Collection,SonyMusicIndiaVEVO,"54,800,000","272,342","1,616",364,https://www.youtube.com/watch?v=LsmI4MopGqQ
Aake Sajjada Nasheen - Mehdi Hassan - Top Ghazal Songs,Shemaroo,"57,600,000","264,010","2,646",902,https://www.youtube.com/watch?v=eWRgxJ8LmEQ
TUMHAIN DEKHUN TUMHARAY CHANAY WALON KI MEHFIL - MEHDI HASSAN - FILM PIYA MILAN KI AAS,VintageLollywood,"294,000","256,829","1,281",230,https://www.youtube.com/watch?v=dCrO9EwZVXQ
Kaise Chhupa-un Raaz-e-Gham - Ab Ke Hum Bichhde | Mehdi Hassan | Official Audio Song,SonyMusicIndiaVEVO,"54,800,000","238,062","3,391",943,https://www.youtube.com/watch?v=A9WjdkfbJQA
Ek Bus Too Hi Nahin - Kehna Usey | Mehdi Hassan | Official Audio Song,SonyMusicIndiaVEVO,"54,800,000","229,516","3,409",447,https://www.youtube.com/watch?v=-RA1sKfvscc
Koo Ba Koo Phail Gayi Baat Shanasai Ki - Mehdi Hassan Live,Jamal Nasir,"311,000","224,685","2,910",375,https://www.youtube.com/watch?v=UEoGoTIpPPA
SHOLA THA JAL BUJHA HOON (GHAZAL) - MEHDI HASSAN - LOK VIRSA,PunjabiFolkMusic,"238,000","210,146","2,310",598,https://www.youtube.com/watch?v=--jn9fOjX50
MEHDI HASSAN~Film~Dil Mera Dharkan Teri~{1968}~Tark-e-Ulfat Ka Sila Pa Bhi Liya Hai~[Best HD Video],Melody is Always Queen- RAJA,"714,000","208,945","1,317",206,https://www.youtube.com/watch?v=aYn7bEl0u_g
Kyon Poochte Ho,Mehdi Hassan - Topic,"102,000","204,032","1,609",186,https://www.youtube.com/watch?v=9JFb41VGFjM
Tanha Thi Aur Hamesha Se Tanha,Mehdi Hassan - Topic,"102,000","157,542","1,535",319,https://www.youtube.com/watch?v=kIVAK0ZKqYE
YUN ZINDAGYI KI RAH MAIN TAKRA GAYA KOYI - MEHDI HASSAN - FILM AAG,VintageLollywood,"294,000","135,355",852,272,https://www.youtube.com/watch?v=XIvuHSWzKpk
Nishan Bhi Koi Na Chhoda,Mehdi Hassan - Topic,"102,000","119,781","1,267",314,https://www.youtube.com/watch?v=v32iG8iWkjk
ANKHON SE MILI ANKHAIN DIL DIL SE JO TAKRAYA - MEHDI HASSAN - FILM HAZAR DASTAAN,VintageLollywood,"294,000","119,745",624,184,https://www.youtube.com/watch?v=vKYjL1q7KTA
