Title,Channel,Subscribers,Views,Likes,Duration (seconds),URL
Dasht-e-Tanhai | Meesha Shafi | Season 5 | Coke Studio Pakistan | @RohailHyattMusic,Rohail Hyatt,"1,430,000","9,285,172","59,191",410,https://www.youtube.com/watch?v=tYB-6i_q4sU
Mori Araj Suno | Tina Sani | Season 3 | Coke Studio Pakistan | @RohailHyattMusic,Rohail Hyatt,"1,430,000","1,790,830","10,040",402,https://www.youtube.com/watch?v=l-sZOGBTgcs
Dasht e tanhai - Tina Sani,tauseefqau,"144,000","518,889","2,395",306,https://www.youtube.com/watch?v=xulQbwSygfI
Akhan chham chham wassiyan - Tina Sani,tauseefqau,"144,000","292,084",720,395,https://www.youtube.com/watch?v=7VJrpHNrFLo
Bol Ke Lub Azad - Tina Sani | EMI Pakistan Originals,EMI Pakistan,"652,000","134,580","1,593",161,https://www.youtube.com/watch?v=OchGMA7cOc8
